section_number, image_url, image_format, image_width, image_height, atlas_url, atlas_format, viewer_url
2699,http://api.brain-map.org/api/v2/atlas_image_download/101940296?downsample=0&annotation=false&atlas=3,jpg,16624,30256,http://api.brain-map.org/api/v2/svg/101940296?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940296&zoom=-5
2724,http://api.brain-map.org/api/v2/atlas_image_download/101940282?downsample=0&annotation=false&atlas=3,jpg,17904,33184,http://api.brain-map.org/api/v2/svg/101940282?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940282&zoom=-5
2749,http://api.brain-map.org/api/v2/atlas_image_download/101940268?downsample=0&annotation=false&atlas=3,jpg,17264,29280,http://api.brain-map.org/api/v2/svg/101940268?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940268&zoom=-5
2750,http://api.brain-map.org/api/v2/atlas_image_download/101940295?downsample=0&annotation=false&atlas=3,jpg,18672,30256,http://api.brain-map.org/api/v2/svg/101940295?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940295&zoom=-5
2775,http://api.brain-map.org/api/v2/atlas_image_download/101940281?downsample=0&annotation=false&atlas=3,jpg,17904,30256,http://api.brain-map.org/api/v2/svg/101940281?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940281&zoom=-5
2801,http://api.brain-map.org/api/v2/atlas_image_download/101940294?downsample=0&annotation=false&atlas=3,jpg,16752,23424,http://api.brain-map.org/api/v2/svg/101940294?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940294&zoom=-5
2826,http://api.brain-map.org/api/v2/atlas_image_download/101940280?downsample=0&annotation=false&atlas=3,jpg,10768,21440,http://api.brain-map.org/api/v2/svg/101940280?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940280&zoom=-5
2851,http://api.brain-map.org/api/v2/atlas_image_download/101940266?downsample=0&annotation=false&atlas=3,jpg,14704,25376,http://api.brain-map.org/api/v2/svg/101940266?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940266&zoom=-5
2852,http://api.brain-map.org/api/v2/atlas_image_download/101940293?downsample=0&annotation=false&atlas=3,jpg,13424,22448,http://api.brain-map.org/api/v2/svg/101940293?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940293&zoom=-5
2877,http://api.brain-map.org/api/v2/atlas_image_download/101940279?downsample=0&annotation=false&atlas=3,jpg,13216,25376,http://api.brain-map.org/api/v2/svg/101940279?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940279&zoom=-5
2902,http://api.brain-map.org/api/v2/atlas_image_download/101940265?downsample=0&annotation=false&atlas=3,jpg,12896,22448,http://api.brain-map.org/api/v2/svg/101940265?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940265&zoom=-5
2903,http://api.brain-map.org/api/v2/atlas_image_download/101940292?downsample=0&annotation=false&atlas=3,jpg,12896,23424,http://api.brain-map.org/api/v2/svg/101940292?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940292&zoom=-5
2928,http://api.brain-map.org/api/v2/atlas_image_download/101940278?downsample=0&annotation=false&atlas=3,jpg,12128,20496,http://api.brain-map.org/api/v2/svg/101940278?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940278&zoom=-5
2953,http://api.brain-map.org/api/v2/atlas_image_download/101940264?downsample=0&annotation=false&atlas=3,jpg,10208,21472,http://api.brain-map.org/api/v2/svg/101940264?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101940264&zoom=-5
