"Segment","Number of voxels [voxels]","Volume [mm3]","Volume [cm3]","Minimum","Maximum","Mean","Median","Standard Deviation"
"Vermis Cent L",76,38.9119,0.0389119,1650.92,2036.58,1799.66,1788.72,106.265
"Vermis Cent R",151,77.3117,0.0773117,1658.39,2121.51,1840.17,1825.36,90.1739
"Subthalamic Nuc L",75,38.3999,0.0383999,1551.68,1720.11,1647.65,1648.87,37.7923
"Subthalamic Nuc R",64,32.7679,0.0327679,1611.6,1742.9,1687.32,1689.76,31.2601
"Hippocampal Comm",451,230.911,0.230911,1565.64,3006.44,2065.07,2017.91,278.445
"Fornix",435,222.719,0.222719,994.167,1907.02,1467.25,1489.72,177.109
"White Matter L",12855,6581.74,6.58174,1337.54,2357.38,1833.68,1826.74,168.054
"White Matter R",13019,6665.7,6.6657,1331.28,2260.24,1851.74,1845.3,169.934
"Internal Capsule L",617,315.903,0.315903,1270.87,2003.43,1729.26,1726.51,105.361
"Internal Capsule R",584,299.007,0.299007,1509.11,1967.31,1765.22,1756.45,86.1228
"CSF",63637,32582,32.582,409.775,3484.87,2431.39,2544.46,630.812
"misc",216,110.592,0.110592,1433.03,2038,1776.6,1781.33,103.326
